,ndcg
screen,0.758713321
convictions,0.758102289
studies,0.75759734
providence,0.75747575
repeated,0.756972489
remembered,0.755748934
supplier,0.755562139
ulf,0.755179556
win,0.754946517
translated,0.754766451
yearly,0.754655208
remove,0.752136315
tendency,0.750076445
camps,0.749739911
spiritual,0.749581803
modified,0.74888014
philly,0.747127697
released,0.746739812
midi,0.745720226
wordperfect,0.744762094
vincent,0.744490188
budget,0.743647725
wrote,0.743501151
sheet,0.743320112
tranny,0.742713067
iranian,0.741972591
ya,0.740459343
lasted,0.740257102
separated,0.739908242
shotguns,0.739433036
violations,0.739427798
phrase,0.738018452
remaining,0.737540284
savings,0.737532409
sgi,0.737284255
peter,0.737085619
suspended,0.737046556
locations,0.736946249
untrue,0.73691728
veteran,0.735510443
baptized,0.735327823
participating,0.734840187
192,0.734792995
sparc,0.734299825
practitioners,0.733568363
opposite,0.732993985
applied,0.732960421
insisting,0.732948594
inspection,0.732889514
tvtwm,0.732748159
spying,0.731833602
pages,0.731769242
chances,0.731408681
soviet,0.731152542
necessity,0.731064672
major,0.729453222
researchers,0.72941799
transistor,0.729387098
honda,0.728882581
sorts,0.728603055
triangle,0.728026339
completely,0.727898693
wuarchivewustledu,0.727164711
wheres,0.727015789
motors,0.726760674
summarizes,0.72663286
ppm,0.726449118
next,0.726425389
responsibility,0.726016135
nah,0.725988532
sticking,0.725851328
specialized,0.724845933
scheme,0.724613603
1915,0.724448505
20th,0.7244205
murdered,0.723370754
swiss,0.72268341
obp,0.722442345
streak,0.722319751
nonlinear,0.721979145
murders,0.721362885
reference,0.719989276
plane,0.719761047
243,0.719712574
opposing,0.719580623
get,0.719556892
touched,0.717769494
similarity,0.717445251
stripping,0.717413526
wiretaps,0.717116248
translate,0.716467058
producing,0.716175477
son,0.71603347
notorious,0.715946893
much,0.715912718
tony,0.715602722
realizing,0.715445369
respectable,0.715394902
highway,0.715193357
birth,0.715162881
pulling,0.715117148
invaded,0.714965758
caucasian,0.714742599
scroll,0.714454565
historic,0.714378154
surprisingly,0.713650145
quantum,0.713582951
warned,0.713567425
flesh,0.713353885
risen,0.713199817
utter,0.713196719
union,0.712926489
roads,0.712585754
isolated,0.712490646
cultural,0.711911393
strength,0.711805286
strawman,0.711616233
muscles,0.710665191
pathology,0.710633221
thought,0.710567465
geometry,0.710139179
focused,0.710030176
path,0.70889797
revolution,0.708552807
seasons,0.708486715
touching,0.707424955
executables,0.70734432
prison,0.707302157
reconsider,0.706540473
traditional,0.706322192
saver,0.706226787
wagon,0.705928587
readings,0.705140338
forsale,0.705097353
transformer,0.704912083
purchases,0.704752765
without,0.704628841
olympic,0.704625612
registration,0.70369905
interesting,0.703007004
annual,0.702876177
weaknesses,0.702374769
wholesale,0.701875375
boulder,0.701674729
1960s,0.701272588
tortured,0.700389558
vendor,0.700361974
womans,0.700259637
collection,0.699817035
mess,0.699587572
religious,0.699140117
elses,0.699052918
steady,0.699023408
corrected,0.698692121
ver,0.698044727
liquid,0.697951823
steer,0.69794114
threatening,0.697094204
supplies,0.69655246
field,0.695958383
pops,0.695929313
ugly,0.694796271
tuning,0.694718167
defaults,0.69451114
interpreted,0.694358338
karma,0.694220621
scholars,0.693845287
taking,0.693806217
another,0.693575017
dad,0.693217848
mean,0.693127066
probe,0.692979222
5,0.692773074
0,0.692751266
lbs,0.6927285
meet,0.692639573
product,0.692014194
ontario,0.691904113
thrust,0.691748976
scope,0.691645097
wore,0.69139892
moon,0.691396319
strangers,0.691310954
transactions,0.691090107
tough,0.691016514
hernandez,0.690895383
permanent,0.690769615
piece,0.690290628
stand,0.689836269
psalm,0.689598269
42,0.689416114
scientific,0.689258539
undocumented,0.688985825
terms,0.688965906
usual,0.688874063
nc,0.688867529
trivial,0.688793093
checks,0.688437877
510,0.688223614
image,0.687960127
uart,0.687927818
rep,0.687319692
span,0.686938146
wrist,0.686894889
indigo,0.686728588
types,0.686644753
fees,0.686460479
twm,0.686441265
xterminal,0.686351662
greater,0.685463118
speaks,0.684841851
spend,0.684675822
1,0.684483415
1mb,0.684346263
similar,0.684195341
history,0.684093288
pie,0.682733895
stripped,0.68170103
272,0.681279306
warrant,0.681255485
versa,0.681185788
unclear,0.68086579
0,0.68069899
remain,0.680559418
signing,0.680508493
ways,0.679648449
water,0.679559838
spending,0.679533054
trigger,0.679353971
slack,0.679037889
unreliable,0.678915197
shipped,0.678866683
bands,0.678850558
hotel,0.678627465
lightly,0.678450029
relation,0.678396803
int,0.678148375
tens,0.677867333
prevents,0.677735216
hour,0.677055308
rescue,0.677004006
social,0.676836069
promises,0.67655363
slowing,0.676503206
medication,0.676296499
rejected,0.676126956
barrier,0.67582283
netland,0.675580149
karabakh,0.675070014
advocating,0.675062971
109,0.675022895
surely,0.67489404
breaks,0.674864373
effective,0.674467082
robertson,0.674435392
accountability,0.67441342
selected,0.674211292
2,0.674102089
omega,0.673850796
2nd,0.673756346
habit,0.673336991
winds,0.673111442
ported,0.672145235
missing,0.671808384
beg,0.671717505
urban,0.671661824
homosexuals,0.67152833
shoulder,0.671335437
macintosh,0.671139569
adapted,0.671098801
cases,0.670904726
col,0.6704882
lines,0.670387125
terror,0.670332276
telecommunications,0.670326765
bmp,0.67031196
skepticism,0.67027819
roof,0.669152333
svga,0.668608033
style,0.66859608
substantial,0.668492072
sunday,0.668425694
hate,0.668422157
tight,0.668009268
activists,0.667278233
mounted,0.667139686
imperative,0.667115308
ii,0.666768878
parks,0.666628626
prince,0.666504506
territories,0.666441899
anywhere,0.666363768
trace,0.666226847
unconstitutional,0.666196826
weekend,0.665985553
jackson,0.665685025
1939,0.665501969
2,0.66540897
switches,0.665376367
maps,0.665070822
roger,0.664829214
core,0.664818359
stack,0.664448487
guy,0.664227096
pharisees,0.664150458
seems,0.6640038
scriptural,0.663961377
wound,0.663711226
condemned,0.663540476
certainly,0.662957292
3,0.662469907
cam,0.662222462
8,0.661710251
sn,0.661630746
obtaining,0.661202909
sessions,0.661104205
57,0.660925885
world,0.660876084
moderate,0.660725064
campaign,0.660623739
saint,0.6604879
midnight,0.660118767
321,0.659920237
reads,0.659718358
tell,0.659289848
12v,0.6591849
offence,0.659124282
ryan,0.659095862
minute,0.659056927
libraries,0.65890533
detroit,0.6587511
40,0.658436253
420,0.657887674
mr,0.657861586
suppress,0.65746331
replied,0.657126231
obsolete,0.657077827
nubus,0.656991607
remainder,0.656797182
romans,0.656019038
suspension,0.655892524
processing,0.655781907
9,0.655699559
publicly,0.65518231
im,0.655159862
thousand,0.655109784
listened,0.654994657
vacuum,0.654990423
silicon,0.654901119
lookup,0.654751308
improved,0.654729046
conviction,0.654718499
highest,0.654682764
defensemen,0.65467571
theories,0.654527757
wrapped,0.654291448
defeat,0.654246648
high,0.654102195
hill,0.653942565
teaching,0.653836303
intensity,0.653632026
systemic,0.653554855
tor,0.653321876
recommend,0.652793366
difficult,0.652481687
clue,0.652408801
legislative,0.652222275
prosecution,0.652120681
moment,0.652061888
unless,0.651841736
wd,0.651361602
shalt,0.651041763
supporters,0.650714693
neck,0.650689987
sizes,0.6503141
secondary,0.650306436
till,0.649996392
turbo,0.6499506
reserve,0.649889749
2mb,0.649825284
vice,0.649697791
bodily,0.649640509
aka,0.649370953
rich,0.649213103
profile,0.649038861
andre,0.648842468
phillies,0.648841114
seize,0.648781261
stevens,0.648778378
1994,0.648715984
medieval,0.648668112
ronald,0.648539941
chelios,0.648332073
oppressed,0.648323419
viruses,0.648280402
wilson,0.648228804
diagrams,0.648126564
certified,0.647832363
4,0.647813281
messier,0.64779568
fantasy,0.647694293
synchronous,0.647690179
advertise,0.647685388
writes,0.647631247
expertise,0.647524279
jose,0.647427486
366,0.64717807
158,0.647062488
latest,0.646726029
indicate,0.646560143
101,0.646267954
yeast,0.646261484
threw,0.646250137
factual,0.645985373
advocated,0.645926336
ati,0.645781788
throughout,0.645778773
youre,0.64570848
wounds,0.645602728
centered,0.645591436
cell,0.645468471
stability,0.645347793
ample,0.645132753
increasing,0.645095106
oxford,0.64486911
6,0.644603022
puzzle,0.644566062
61,0.644337224
mission,0.644318606
hooks,0.64429064
proclaimed,0.644234969
achieved,0.643909026
conservatives,0.643908838
rapidly,0.643826022
church,0.643625475
1982,0.643595637
origins,0.643476066
fair,0.643423387
60s,0.643415502
hello,0.643187214
smoothly,0.643187052
technical,0.643164317
flaming,0.642941563
hitters,0.642941221
standoff,0.642703086
paradise,0.642658885
xterms,0.642128788
include,0.642120248
baby,0.64182745
winmarks,0.641506238
fairness,0.641234237
frame,0.640746465
metric,0.640664778
penalties,0.640193469
cite,0.639991741
moments,0.639790202
margin,0.639614364
shared,0.639580885
washington,0.639409594
ambassador,0.63929841
1977,0.639202702
uses,0.639180474
popping,0.639038587
storm,0.639027138
provinces,0.638897027
anything,0.638877757
smart,0.6383761
weiss,0.638120865
threads,0.637987959
450,0.637728301
rockets,0.637638672
numbered,0.637618943
pull,0.637606437
operator,0.637533813
luther,0.637355754
upgraded,0.637106431
orbiter,0.636988425
week,0.63688383
outrage,0.636583641
108,0.636485787
watching,0.63642914
mailbox,0.636308527
luck,0.636289868
card,0.636256097
typically,0.636201779
intervene,0.635988877
7,0.635941732
interrupts,0.635641472
nights,0.635485156
rolling,0.63504606
253,0.634929039
aftermarket,0.634761925
105,0.634699862
225,0.634681987
pentium,0.634525369
priesthood,0.634409445
knives,0.63431414
rating,0.634250654
tap,0.634248885
ceased,0.634191588
arc,0.63418702
sisters,0.634024062
stefan,0.633994206
davidians,0.633911837
others,0.633859581
also,0.633856888
legally,0.63334417
prey,0.633196067
sunnyvale,0.632957361
allergic,0.632627416
dealership,0.63259267
scored,0.632443294
contradictory,0.632408631
transportation,0.632395903
poll,0.63206192
tartar,0.63204925
1000,0.631991679
technology,0.631954876
83,0.631773345
referenced,0.631662029
businesses,0.631468071
cast,0.63144948
116,0.631351208
sitting,0.631307455
18,0.631292131
supported,0.630923676
marys,0.630736332
supporting,0.630364257
cups,0.630277691
1100,0.629226742
remarkable,0.628853898
regarded,0.628770709
refer,0.628630778
nutshell,0.628562587
principal,0.628530236
18th,0.628500869
1015,0.628038538
expressing,0.628036151
sector,0.627944946
8bit,0.627940273
attributes,0.627801917
fears,0.627744985
utah,0.627632339
records,0.626893158
credibility,0.626628979
bye,0.626445375
participants,0.626427119
target,0.626215359
res,0.625998053
war,0.625787646
81,0.625746017
126,0.625471321
midwest,0.625339401
translations,0.62523883
sinner,0.625086125
nonetheless,0.624943982
something,0.624940867
114,0.624816562
10,0.624747145
scsi,0.624652644
rank,0.624644098
volunteers,0.62450317
yellow,0.62436214
mens,0.623736593
103,0.623735374
ne,0.623472761
surface,0.623446036
miami,0.623079604
1024,0.623070186
setup,0.62303741
nazi,0.622594509
100000,0.622499344
investigate,0.622493675
dangerous,0.622369371
throttle,0.622216831
defending,0.621889333
worried,0.621844336
crack,0.621662766
pens,0.621610696
imaging,0.621547971
decisive,0.621529471
weapon,0.62137337
outlets,0.621356741
evidently,0.621355303
trial,0.621308551
vehicles,0.621241724
focus,0.620716651
alliance,0.620661336
workaround,0.620612446
diving,0.620318958
102,0.62029817
324,0.620161262
useful,0.620141465
10000,0.619897446
mistakes,0.619824006
chips,0.619672167
extensions,0.619635626
penalty,0.619455815
description,0.61931637
cold,0.619185537
100,0.619173516
life,0.619170725
registering,0.618993362
foster,0.618888979
massive,0.61888893
121,0.6186819
blame,0.618645564
risky,0.618534935
staff,0.618506295
fans,0.618462346
specifically,0.618380916
1000000,0.618369389
desire,0.618345
refusing,0.618254286
9mm,0.618160526
accelerated,0.618126795
yall,0.617542934
sports,0.617393904
peaceful,0.617345059
trades,0.61723364
yup,0.61708518
104,0.617045832
parity,0.61701058
responds,0.616919122
minded,0.616822958
minorities,0.616810357
attached,0.61663397
tracing,0.616629042
alaska,0.616628347
separate,0.616529261
planning,0.616466165
art,0.616106577
particular,0.616046672
chambers,0.615861941
pete,0.61584074
scriptures,0.615805224
returned,0.615765987
siggraph,0.615752791
devoted,0.61549944
programmer,0.615467129
bread,0.615466876
boast,0.615416827
abstract,0.615327126
hat,0.615128264
prayers,0.615042371
accepted,0.614861663
balloon,0.614540828
clause,0.614391664
thinks,0.614366515
usa,0.614330823
wash,0.614285812
recourse,0.614269733
guest,0.614247684
succeeded,0.614226661
vt,0.614169986
fallen,0.614124806
regulate,0.613965579
202,0.613772578
10th,0.613746792
yes,0.61362083
obscure,0.613573398
punished,0.613440808
lutheran,0.613215591
stock,0.612872778
sand,0.612847989
esdi,0.612841114
proven,0.612807832
south,0.612532885
walks,0.612400092
fully,0.612277429
parents,0.612248783
unhappy,0.612138591
structural,0.612046802
22,0.611965156
pixel,0.611884067
employee,0.611806283
ol,0.611718283
13,0.611522902
definitely,0.611252926
preview,0.611182468
29,0.611078672
sw,0.610918269
led,0.610886698
333,0.610795704
advances,0.610790607
meetings,0.61076162
eff,0.610616379
opening,0.610479092
pump,0.610401581
buddy,0.609997701
artificial,0.609888367
let,0.609708415
rangers,0.609596036
venture,0.609343275
granted,0.609217985
retain,0.609101818
3x,0.609093459
119,0.609086229
bag,0.608914206
documentary,0.608794212
slightly,0.608658362
lists,0.608549999
pragmatic,0.608487554
servicing,0.608422336
powell,0.608316866
noise,0.608245133
11,0.608195708
simplest,0.608160169
surprise,0.608105813
trademark,0.607968489
propulsion,0.607924301
announcements,0.607758493
hey,0.607682215
export,0.607677168
pg,0.607246347
asking,0.607120268
agenda,0.607080945
liability,0.607003716
frustrated,0.606774039
sectors,0.606658823
register,0.606508983
proportion,0.606458506
scratches,0.606260424
rd,0.606208108
birthday,0.606174808
map,0.60602909
fbis,0.606005534
hunter,0.606000178
bill,0.605841844
grenade,0.605692643
shall,0.605680998
sophisticated,0.605576025
symptoms,0.605429608
rate,0.60535165
traps,0.605257148
powerful,0.60514906
banning,0.605146095
seem,0.605106396
representatives,0.605020578
verification,0.604990408
offered,0.60497719
worked,0.604865934
bikes,0.604751323
sharks,0.604626708
193,0.604351544
interfaces,0.604226743
booth,0.604178615
warning,0.604115163
men,0.604078803
cabinet,0.60392626
50,0.603226112
territorial,0.603166793
10k,0.60314054
specialists,0.603115304
sat,0.603074819
spelled,0.603006893
112,0.602959363
bullets,0.602954798
1986,0.602929938
entering,0.60286419
vast,0.602796156
session,0.602577223
113,0.602245366
verify,0.602071397
affiliation,0.601742082
159,0.601546616
annihilation,0.601302824
risks,0.601198099
soon,0.601193494
parent,0.601125881
child,0.601117344
accountable,0.601083367
standpoint,0.60099611
stations,0.600924723
354,0.600895731
wear,0.600867761
edit,0.600755133
pen,0.600730399
forward,0.600583392
125,0.600559409
whereas,0.600524651
ribbon,0.600523497
sect,0.600337758
easter,0.60029807
supportive,0.600110541
swear,0.600060702
meanwhile,0.59998412
slaves,0.599901446
southern,0.599863415
30s,0.599728693
units,0.599719194
solution,0.599460006
lasting,0.599453324
stern,0.59942318
buffer,0.599325914
portland,0.599304661
jimmy,0.599177456
250,0.599111387
les,0.599011448
luxury,0.598980244
march,0.598826843
106,0.598589276
reagan,0.598584129
marshall,0.598544834
20mb,0.598473166
towns,0.597900024
proprietary,0.597779429
tartars,0.597723964
aa,0.597652568
damphousse,0.597458059
35,0.597447616
conversation,0.59743046
rationale,0.597342875
1012,0.597276683
stone,0.597074929
committed,0.59693958
1700,0.596580758
paranoid,0.596479074
wit,0.596426294
crying,0.596314663
hartill,0.59609347
au,0.596053133
hicolor,0.595965776
12,0.595886112
races,0.595798892
outputs,0.59576688
paperback,0.595533223
oriental,0.595447826
stretch,0.595443975
coast,0.595413683
sanderson,0.595348615
shame,0.595268361
animated,0.595023509
manual,0.595011458
aerospace,0.594994046
mobile,0.594856993
nationwide,0.594826171
rebuilt,0.594824265
pex,0.594714464
agricultural,0.594681032
sins,0.594672647
1020,0.594439357
123,0.594323817
publickey,0.594245313
heads,0.594177607
polite,0.593899878
text,0.593787255
288,0.593768149
smoked,0.593569261
bruce,0.593495467
zionism,0.593483485
item,0.593444358
nutrition,0.593428462
andreychuk,0.593277315
july,0.593135005
1069,0.593131382
adequately,0.593026796
general,0.592890067
theme,0.592850674
tracks,0.592847595
ow,0.592760873
myers,0.592502786
details,0.592440906
replyto,0.592257191
residents,0.592209748
120,0.592179817
showed,0.592157568
works,0.592135306
echo,0.592109402
imo,0.592063954
morris,0.592041283
slowed,0.592017364
amp,0.591863422
147,0.591262799
171,0.59122809
attempted,0.591087856
selection,0.591074031
baerga,0.591071429
thick,0.590980896
legal,0.590964659
trajectory,0.590753129
founded,0.590720833
colors,0.590707979
alomar,0.590707304
triumph,0.590461859
umpires,0.590258259
14th,0.590254904
jumpers,0.590213235
answer,0.590070574
asteroids,0.589947216
owning,0.589878574
martinez,0.589847036
instructions,0.589715408
promote,0.589626594
distribution,0.589479054
expiration,0.589454835
availability,0.589383664
tommy,0.589173699
diagnosis,0.589119626
proton,0.589005015
930401,0.588858778
clearance,0.588556006
sport,0.588487442
compress,0.588330583
sic,0.588288157
digest,0.588247946
proof,0.588010421
memorial,0.587929627
modify,0.587882558
santa,0.587859941
claim,0.587825873
mutually,0.587777423
probably,0.587671407
39,0.587526568
sun,0.587332421
regime,0.587184629
rgb,0.587133836
71,0.587034252
entries,0.586911752
binary,0.586836441
ratings,0.586836136
ottoman,0.586793635
bullpen,0.586719639
486dx266,0.586679747
fluke,0.586609965
abroad,0.58626945
partially,0.586086986
hebrew,0.585731268
1250,0.585666526
animals,0.585513295
consensus,0.585402574
motivations,0.585384936
mind,0.585210546
behalf,0.58520825
anatolia,0.585189491
adobe,0.585177086
alpha,0.585015723
paul,0.584813384
acknowledged,0.584764113
abused,0.584709878
accidentally,0.584566782
robert,0.584555678
das,0.584518291
quotations,0.584425508
resources,0.584407333
tag,0.584364172
therapies,0.584302612
jerk,0.584264579
ironic,0.584185059
133,0.584066836
motorola,0.584029048
preserved,0.583976768
arent,0.583897586
ip,0.583697715
1280x1024,0.583632741
upset,0.583461954
turns,0.58337588
wouldnt,0.583328755
contrary,0.583236248
booted,0.583185877
412,0.583175646
reliable,0.583142656
capacitor,0.583069047
mistaken,0.582931233
allah,0.582923473
canucks,0.582708828
124,0.582539817
whining,0.582434184
stellar,0.582229261
astronauts,0.581951481
ticket,0.581874483
cdrom,0.581850951
98,0.581821946
grasp,0.581788917
lips,0.581767352
mentions,0.581703007
moore,0.581681576
65,0.581611294
view,0.581582216
getting,0.581530274
130,0.581456219
offices,0.581332643
offend,0.581328028
uncompressed,0.581304212
judgment,0.581175518
buildings,0.581169684
unfortunate,0.581133081
249,0.58113055
107,0.581054482
whatever,0.581015833
israelites,0.580731727
confirmation,0.580708285
safely,0.580641605
128,0.580590968
role,0.580589548
cheaper,0.580413661
aug,0.580264434
hawerchuk,0.580178144
british,0.57998516
wording,0.579983918
vi,0.579940258
require,0.579926111
mildly,0.579890709
universal,0.579833644
162,0.579772234
205,0.579618249
135,0.579434357
hut,0.579389585
adaptor,0.579279596
surgery,0.57917844
127,0.578803798
fortune,0.578618662
cica,0.578572179
citing,0.578558258
ra,0.578550551
respectively,0.578507365
295,0.57820773
tree,0.578177758
converting,0.578119716
pixmap,0.57811555
84,0.577936543
shostack,0.577907736
12mb,0.577864396
monster,0.57777314
alarms,0.57772952
rockies,0.577716378
objection,0.577683914
travel,0.577683488
processors,0.577609634
dress,0.577520483
highend,0.577227224
timothy,0.577201542
wealth,0.576951737
announced,0.57670222
rumor,0.576689541
forget,0.576636744
il,0.576546206
131,0.576470234
137,0.576407374
1024x768,0.576389674
nyc,0.576325752
speaker,0.576042092
system,0.575800808
questioned,0.575769428
transmitter,0.57571341
permits,0.575707989
unique,0.575596287
severe,0.575504995
tactical,0.575431842
accompanying,0.575402006
bow,0.57527061
revised,0.57524088
robinson,0.575159948
enhanced,0.575105911
wood,0.575040062
330,0.574966006
132,0.574705273
funding,0.574704294
1970,0.574694591
injuries,0.574658204
vitamin,0.574590313
ive,0.5745166
spur,0.574385269
isnt,0.574230617
70,0.574210387
remarks,0.573854242
950,0.573755448
disclosed,0.573739773
commodore,0.573650798
findings,0.573618583
1971,0.573598147
innovative,0.573519061
xterminals,0.573455659
psychology,0.573410807
selfish,0.573313353
adjustment,0.573287575
innocence,0.573267302
went,0.573205367
wont,0.573044667
grayscale,0.572861393
vacation,0.572806197
mainly,0.572792941
ignored,0.57278699
training,0.572735168
47,0.572603922
unlawful,0.572546565
iowa,0.572532553
aimed,0.572368945
michigan,0.572313479
complaints,0.572077628
hence,0.57206551
yale,0.572007042
return,0.571973079
jagr,0.571967375
important,0.571856226
horror,0.571808427
harvey,0.5716958
one,0.57168433
noknock,0.57163593
transit,0.571601606
suspected,0.571586684
chair,0.571575342
8k,0.571341584
treaty,0.5710855
1600,0.571020222
clues,0.57094038
knight,0.570680763
rome,0.570641349
trend,0.570575709
134,0.570543016
ami,0.570483019
fellowship,0.57018291
baseman,0.569837089
worst,0.569818763
chooses,0.569760431
pre,0.569720898
privately,0.569515922
sank,0.569465803
207,0.569362347
research,0.569181358
standings,0.569081874
scanner,0.569020298
6000,0.569012318
realise,0.568966163
accounting,0.568940751
minister,0.568803826
moot,0.56841375
healy,0.568294954
143,0.568144578
1983,0.56808274
chastity,0.568051643
bursts,0.567995587
loan,0.567838222
candidates,0.567799161
agriculture,0.567664798
sources,0.567442582
perry,0.567367398
syntax,0.567235638
117,0.567160632
170,0.567152356
forming,0.56713928
air,0.566963135
122,0.566848131
realize,0.566846599
2000,0.566794423
ran,0.566742878
fortran,0.566695881
usually,0.566600181
older,0.566584774
altitude,0.566563258
358,0.566560825
shocks,0.566531772
ranks,0.566492704
iff,0.566348841
428,0.566093787
power,0.565953604
worlds,0.565794097
written,0.565752713
fighters,0.565650888
clark,0.565319584
repost,0.565288227
1961,0.565255735
80bit,0.565207784
loving,0.565177916
224,0.565050613
transfer,0.56500807
110,0.564882145
shake,0.564446762
suspects,0.564334993
exterminate,0.564177283
contributions,0.564072969
129,0.564052487
716,0.563817693
80000,0.563745275
walking,0.563709785
utility,0.563518277
implication,0.563214342
rodney,0.563088452
118,0.562859681
identical,0.56284467
new,0.562757648
standards,0.562496989
snip,0.562435423
roll,0.562160526
connected,0.562130022
admitting,0.562069052
unemployment,0.562026035
letting,0.56187147
3000,0.561675087
jordan,0.561620263
missile,0.561618993
gender,0.561539277
156,0.561527116
theyll,0.561365861
revolver,0.561316244
1500,0.561310698
gretzky,0.561208126
sack,0.561048856
wrt,0.5610265
largest,0.560860962
reread,0.560860679
generalizations,0.560802784
raster,0.560555923
today,0.56051099
amongst,0.560460404
unlimited,0.560356527
5v,0.560203223
bay,0.560198352
departments,0.560185402
shifting,0.560172927
flip,0.560131982
quack,0.560128689
interestingly,0.560107235
gcc,0.560059684
metal,0.560023486
1900,0.559931874
financial,0.559877517
administrative,0.559867818
password,0.559867429
treaties,0.559857057
alike,0.559660529
lifted,0.55961582
142,0.559584474
growing,0.559532624
marginal,0.559379451
expects,0.559314699
freeze,0.55927837
accelerator,0.559270351
mix,0.559203781
variety,0.55909641
panel,0.559079144
gamma,0.55903986
15000,0.559031504
leafs,0.558969278
set,0.558924856
ranked,0.558918467
ages,0.558908399
tone,0.558896819
reaches,0.558800969
proverbs,0.558692551
empire,0.558607471
se30,0.558478072
shanahan,0.558226015
operators,0.55816617
bibliography,0.558150445
organism,0.558018395
15,0.557987537
bypass,0.557968322
exceeds,0.55778561
165,0.557782628
dig,0.557688957
strictly,0.557620825
163,0.557383292
quicker,0.557371236
fucking,0.557343895
alt,0.557341255
lynn,0.55733724
declared,0.557298758
mips,0.557132128
buf,0.557094077
386sx,0.557039172
heating,0.557025019
bagged,0.556896799
ott,0.556883264
justice,0.556835137
tricky,0.556759314
devices,0.556754908
publisher,0.556726606
900,0.556519262
rising,0.556485123
rushed,0.556295892
callback,0.556237409
182,0.556223942
mexico,0.556219795
quite,0.556149332
scary,0.55614195
vague,0.55610342
managers,0.55607028
messenger,0.556032716
validity,0.556019133
olwm,0.555964874
cray,0.555944301
greetings,0.555873718
across,0.555840343
xview,0.555815439
stepping,0.555474978
agreements,0.555426825
155,0.555412161
doors,0.555382774
19,0.555343765
